,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
232,MAP4K5,NHLRC1,0.30049261083743845,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
233,MARCH6,NHLRC1,0.3018867924528302,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
234,HSPBP1,NHLRC1,0.3860759493670886,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
235,MICOS10-NBL1,NHLRC1,,,1.0,,
236,AGL,NHLRC1,,,1.0,,
237,MMD,NHLRC1,0.3470588235294117,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
238,MMD2,NHLRC1,0.32620320855614976,,,,
239,MOB1B,NHLRC1,0.3684210526315789,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
240,MST1,NHLRC1,0.3181818181818182,,,"['Positive regulation of metabolic process ', 'Positive regulation of macromolecule metabolic process ', 'Catalytic activity, acting on a protein ']",
241,MT-RNR1,NHLRC1,0.3636363636363637,,,,
242,MTA1,NHLRC1,0.3037974683544304,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
243,MTCP1,NHLRC1,0.35,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
244,MUSK,NHLRC1,0.3253588516746411,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
245,JTB,NHLRC1,0.34567901234567894,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
246,HSPA4,NHLRC1,,,1.0,,
247,EDEM1,NHLRC1,0.30493273542600896,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
248,FBXO2,NHLRC1,0.363013698630137,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
249,EDEM2,NHLRC1,0.3101851851851852,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
250,EIF2B1,EPM2A,,,1.0,,
251,EPM2AIP1,EPM2A,,,1.0,,
252,ERP29,NHLRC1,0.3183856502242152,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
253,ETAA1,NHLRC1,0.34574468085106386,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
254,FAF1,NHLRC1,0.3333333333333333,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
255,FAM129A,NHLRC1,0.32941176470588235,,,,
256,FAM20A,NHLRC1,0.3048128342245989,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
257,FANCI,NHLRC1,0.31756756756756754,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
258,FBXL5,NHLRC1,0.3836477987421384,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
259,FBXO22,NHLRC1,0.31683168316831684,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
260,HSP90AA1,NHLRC1,,,1.0,,
261,FBXO30,EPM2A,,,1.0,,
262,FBXO4,NHLRC1,0.3539094650205761,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
263,FIZ1,NHLRC1,0.31213872832369943,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
264,GNG3,NHLRC1,0.30526315789473685,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
265,GPRC5C,NHLRC1,0.3758389261744967,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
266,GPRC5D,NHLRC1,0.3758389261744967,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
267,GSK3B,EPM2A,,,1.0,,
268,HERC5,NHLRC1,0.3089887640449438,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
269,HEXIM1,EPM2A,,,1.0,,
270,HMGXB4,EPM2A,,,1.0,,
271,ZNRF1,NHLRC1,0.3208955223880597,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
